No.,Time,,Time 1,Time 2,Delay,,Rata2 Delay,,Delay 1,Delay 2,Var delay,,Total Var ,Jitter
112,1.065057,,1.065057,1.08048,0.015423,,,,0.015423,0.005861,-0.009562,,,
113,1.08048,,1.08048,1.086341,0.005861,,,,0.005861,0.012919,0.007058,,,
114,1.086341,,1.086341,1.09926,0.012919,,,,0.012919,0.00586,-0.007059,,,
115,1.09926,,1.09926,1.10512,0.00586,,,,0.00586,0.013648,0.007788,,,
116,1.10512,,1.10512,1.118768,0.013648,,,,0.013648,0.007623,-0.006025,,,
117,1.118768,,1.118768,1.126391,0.007623,,,,0.007623,0.006736,-0.000887,,,
118,1.126391,,1.126391,1.133127,0.006736,,,,0.006736,0.004912,-0.001824,,,
119,1.133127,,1.133127,1.138039,0.004912,,,,0.004912,0.00734,0.002428,,,
120,1.138039,,1.138039,1.145379,0.00734,,,,0.00734,0.014215,0.006875,,,
121,1.145379,,1.145379,1.159594,0.014215,,,,0.014215,0,-0.014215,,,
122,1.159594,,1.159594,1.159594,0,,,,0,0.000134,0.000134,,,
123,1.159594,,1.159594,1.159728,0.000134,,,,0.000134,0.006774,0.00664,,,
124,1.159728,,1.159728,1.166502,0.006774,,,,0.006774,0.012609,0.005835,,,
125,1.166502,,1.166502,1.179111,0.012609,,,,0.012609,0.00625,-0.006359,,,
126,1.179111,,1.179111,1.185361,0.00625,,,,0.00625,0.008871,0.002621,,,
127,1.185361,,1.185361,1.194232,0.008871,,,,0.008871,0.010841,0.00197,,,
128,1.194232,,1.194232,1.205073,0.010841,,,,0.010841,0.01417,0.003329,,,
129,1.205073,,1.205073,1.219243,0.01417,,,,0.01417,0.006137,-0.008033,,,
130,1.219243,,1.219243,1.22538,0.006137,,,,0.006137,0.013772,0.007635,,,
131,1.22538,,1.22538,1.239152,0.013772,,,,0.013772,0.005975,-0.007797,,,
132,1.239152,,1.239152,1.245127,0.005975,,,,0.005975,0.013587,0.007612,,,
133,1.245127,,1.245127,1.258714,0.013587,,,,0.013587,0.006669,-0.006918,,,
134,1.258714,,1.258714,1.265383,0.006669,,,,0.006669,0.013007,0.006338,,,
135,1.265383,,1.265383,1.27839,0.013007,,,,0.013007,0.006783,-0.006224,,,
136,1.27839,,1.27839,1.285173,0.006783,,,,0.006783,0.013218,0.006435,,,
137,1.285173,,1.285173,1.298391,0.013218,,,,0.013218,0.007652,-0.005566,,,
138,1.298391,,1.298391,1.306043,0.007652,,,,0.007652,0.012287,0.004635,,,
139,1.306043,,1.306043,1.31833,0.012287,,,,0.012287,0.007069,-0.005218,,,
140,1.31833,,1.31833,1.325399,0.007069,,,,0.007069,0.013505,0.006436,,,
141,1.325399,,1.325399,1.338904,0.013505,,,,0.013505,0.007039,-0.006466,,,
142,1.338904,,1.338904,1.345943,0.007039,,,,0.007039,0.012321,0.005282,,,
