No.,Time,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Var delay,,,Total Delay,,Rata2 Delay
104,3.518517,,3.518517,3.519252,0.000735,,0.000735,0,-0.000735,,,,,
105,3.519252,,3.519252,3.519252,0,,0,0.000898,0.000898,,,,,
106,3.519252,,3.519252,3.52015,0.000898,,0.000898,0.000654,-0.000244,,,,,
107,3.52015,,3.52015,3.520804,0.000654,,0.000654,0,-0.000654,,,,,
108,3.520804,,3.520804,3.520804,0,,0,0.000737,0.000737,,,,,
109,3.520804,,3.520804,3.521541,0.000737,,0.000737,0.001403,0.000666,,,,,
110,3.521541,,3.521541,3.522944,0.001403,,0.001403,0,-0.001403,,,,,
111,3.522944,,3.522944,3.522944,0,,0,0.000896,0.000896,,,,,
112,3.522944,,3.522944,3.52384,0.000896,,0.000896,0.000478,-0.000418,,,,,
113,3.52384,,3.52384,3.524318,0.000478,,0.000478,0,-0.000478,,,,,
114,3.524318,,3.524318,3.524318,0,,0,0,0,,,,,
115,3.524318,,3.524318,3.524318,0,,0,0.000524,0.000524,,,,,
116,3.524318,,3.524318,3.524842,0.000524,,0.000524,0.005531,0.005007,,,,,
117,3.524842,,3.524842,3.530373,0.005531,,0.005531,0.000339,-0.005192,,,,,
118,3.530373,,3.530373,3.530712,0.000339,,0.000339,0,-0.000339,,,,,
119,3.530712,,3.530712,3.530712,0,,0,0.000483,0.000483,,,,,
120,3.530712,,3.530712,3.531195,0.000483,,0.000483,0.00037,-0.000113,,,,,
121,3.531195,,3.531195,3.531565,0.00037,,0.00037,0.006347,0.005977,,,,,
122,3.531565,,3.531565,3.537912,0.006347,,0.006347,0.000662,-0.005685,,,,,
123,3.537912,,3.537912,3.538574,0.000662,,0.000662,0.00147,0.000808,,,,,
124,3.538574,,3.538574,3.540044,0.00147,,0.00147,0,-0.00147,,,,,
125,3.540044,,3.540044,3.540044,0,,0,0.001019,0.001019,,,,,
126,3.540044,,3.540044,3.541063,0.001019,,0.001019,0.002131,0.001112,,,,,
127,3.541063,,3.541063,3.543194,0.002131,,0.002131,0.004379,0.002248,,,,,
128,3.543194,,3.543194,3.547573,0.004379,,0.004379,0,-0.004379,,,,,
129,3.547573,,3.547573,3.547573,0,,0,0,0,,,,,
130,3.547573,,3.547573,3.547573,0,,0,0.000896,0.000896,,,,,
131,3.547573,,3.547573,3.548469,0.000896,,0.000896,0.004,0.003104,,,,,
132,3.548469,,3.548469,3.552469,0.004,,0.004,0,-0.004,,,,,
133,3.552469,,3.552469,3.552469,0,,0,0.000803,0.000803,,,,,
134,3.552469,,3.552469,3.553272,0.000803,,0.000803,0.001108,0.000305,,,,,
135,3.553272,,3.553272,3.55438,0.001108,,0.001108,0,-0.001108,,,,,
136,3.55438,,3.55438,3.55438,0,,0,0.00034,0.00034,,,,,
137,3.55438,,3.55438,3.55472,0.00034,,0.00034,0.000373,0.000033,,,,,
138,3.55472,,3.55472,3.555093,0.000373,,0.000373,0.009774,0.009401,,,,,
139,3.555093,,3.555093,3.564867,0.009774,,0.009774,0.001545,-0.008229,,,,,
140,3.564867,,3.564867,3.566412,0.001545,,0.001545,0,-0.001545,,,,,
141,3.566412,,3.566412,3.566412,0,,0,0.000593,0.000593,,,,,
142,3.566412,,3.566412,3.567005,0.000593,,0.000593,0.004377,0.003784,,,,,
143,3.567005,,3.567005,3.571382,0.004377,,0.004377,0.000905,-0.003472,,,,,
144,3.571382,,3.571382,3.572287,0.000905,,0.000905,0,-0.000905,,,,,
145,3.572287,,3.572287,3.572287,0,,0,0,0,,,,,
146,3.572287,,3.572287,3.572287,0,,0,0.000754,0.000754,,,,,
147,3.572287,,3.572287,3.573041,0.000754,,0.000754,0.004027,0.003273,,,,,
148,3.573041,,3.573041,3.577068,0.004027,,0.004027,0,-0.004027,,,,,
149,3.577068,,3.577068,3.577068,0,,0,0.000682,0.000682,,,,,
150,3.577068,,3.577068,3.57775,0.000682,,0.000682,0.000419,-0.000263,,,,,
151,3.57775,,3.57775,3.578169,0.000419,,0.000419,0.006755,0.006336,,,,,
152,3.578169,,3.578169,3.584924,0.006755,,0.006755,0.000557,-0.006198,,,,,
153,3.584924,,3.584924,3.585481,0.000557,,0.000557,0.000324,-0.000233,,,,,
154,3.585481,,3.585481,3.585805,0.000324,,0.000324,0,-0.000324,,,,,
155,3.585805,,3.585805,3.585805,0,,0,0.000263,0.000263,,,,,
156,3.585805,,3.585805,3.586068,0.000263,,0.000263,0.001998,0.001735,,,,,
157,3.586068,,3.586068,3.588066,0.001998,,0.001998,0.002111,0.000113,,,,,
158,3.588066,,3.588066,3.590177,0.002111,,0.002111,0.000517,-0.001594,,,,,
159,3.590177,,3.590177,3.590694,0.000517,,0.000517,0.000985,0.000468,,,,,
160,3.590694,,3.590694,3.591679,0.000985,,0.000985,0,-0.000985,,,,,
161,3.591679,,3.591679,3.591679,0,,0,0.000553,0.000553,,,,,
162,3.591679,,3.591679,3.592232,0.000553,,0.000553,0.002634,0.002081,,,,,
163,3.592232,,3.592232,3.594866,0.002634,,0.002634,0.000264,-0.00237,,,,,
164,3.594866,,3.594866,3.59513,0.000264,,0.000264,0.000338,0.000074,,,,,
165,3.59513,,3.59513,3.595468,0.000338,,0.000338,0.008874,0.008536,,,,,
166,3.595468,,3.595468,3.604342,0.008874,,0.008874,0.00083,-0.008044,,,,,
167,3.604342,,3.604342,3.605172,0.00083,,0.00083,0,-0.00083,,,,,
168,3.605172,,3.605172,3.605172,0,,0,0.000494,0.000494,,,,,
169,3.605172,,3.605172,3.605666,0.000494,,0.000494,0.000718,0.000224,,,,,
170,3.605666,,3.605666,3.606384,0.000718,,0.000718,0.006007,0.005289,,,,,
171,3.606384,,3.606384,3.612391,0.006007,,0.006007,0,-0.006007,,,,,
172,3.612391,,3.612391,3.612391,0,,0,0.000541,0.000541,,,,,
173,3.612391,,3.612391,3.612932,0.000541,,0.000541,0.031737,0.031196,,,,,
174,3.612932,,3.612932,3.644669,0.031737,,0.031737,0.000661,-0.031076,,,,,
175,3.644669,,3.644669,3.64533,0.000661,,0.000661,0.052234,0.051573,,,,,
176,3.64533,,3.64533,3.697564,0.052234,,0.052234,0,-0.052234,,,,,
177,3.697564,,3.697564,3.697564,0,,0,0,0,,,,,
178,3.697564,,3.697564,3.697564,0,,0,0.000598,0.000598,,,,,
179,3.697564,,3.697564,3.698162,0.000598,,0.000598,0.004721,0.004123,,,,,
180,3.698162,,3.698162,3.702883,0.004721,,0.004721,0,-0.004721,,,,,
181,3.702883,,3.702883,3.702883,0,,0,0.000551,0.000551,,,,,
182,3.702883,,3.702883,3.703434,0.000551,,0.000551,0.00375,0.003199,,,,,
183,3.703434,,3.703434,3.707184,0.00375,,0.00375,0.005316,0.001566,,,,,
184,3.707184,,3.707184,3.7125,0.005316,,0.005316,0,-0.005316,,,,,
185,3.7125,,3.7125,3.7125,0,,0,0,0,,,,,
186,3.7125,,3.7125,3.7125,0,,0,0.000902,0.000902,,,,,
187,3.7125,,3.7125,3.713402,0.000902,,0.000902,0.014506,0.013604,,,,,
188,3.713402,,3.713402,3.727908,0.014506,,0.014506,0.055796,0.04129,,,,,
189,3.727908,,3.727908,3.783704,0.055796,,0.055796,0.021564,-0.034232,,,,,
190,3.783704,,3.783704,3.805268,0.021564,,0.021564,0.003105,-0.018459,,,,,
191,3.805268,,3.805268,3.808373,0.003105,,0.003105,0,-0.003105,,,,,
192,3.808373,,3.808373,3.808373,0,,0,0.00075,0.00075,,,,,
193,3.808373,,3.808373,3.809123,0.00075,,0.00075,0,-0.00075,,,,,
194,3.809123,,3.809123,3.809123,0,,0,5.20E-05,0.000052,,,,,
195,3.809123,,3.809123,3.809175,5.20E-05,,5.20E-05,0.00044,0.000388,,,,,
196,3.809175,,3.809175,3.809615,0.00044,,0.00044,0.001155,0.000715,,,,,
197,3.809615,,3.809615,3.81077,0.001155,,0.001155,0.000171,-0.000984,,,,,
198,3.81077,,3.81077,3.810941,0.000171,,0.000171,0.000336,0.000165,,,,,
199,3.810941,,3.810941,3.811277,0.000336,,0.000336,0.000158,-0.000178,,,,,
200,3.811277,,3.811277,3.811435,0.000158,,0.000158,0.000301,0.000143,,,,,
201,3.811435,,3.811435,3.811736,0.000301,,0.000301,0.000475,0.000174,,,,,
202,3.811736,,3.811736,3.812211,0.000475,,0.000475,0.000691,0.000216,,,,,
203,3.812211,,3.812211,3.812902,0.000691,,0.000691,0.000319,-0.000372,,,,,
204,3.812902,,3.812902,3.813221,0.000319,,0.000319,0.000265,-0.000054,,,,,
205,3.813221,,3.813221,3.813486,0.000265,,0.000265,0.000693,0.000428,,,,,
206,3.813486,,3.813486,3.814179,0.000693,,0.000693,0.000736,0.000043,,,,,
207,3.814179,,3.814179,3.814915,0.000736,,0.000736,0.000449,-0.000287,,,,,
208,3.814915,,3.814915,3.815364,0.000449,,0.000449,0.000315,-0.000134,,,,,
209,3.815364,,3.815364,3.815679,0.000315,,0.000315,0.003143,0.002828,,,,,
210,3.815679,,3.815679,3.818822,0.003143,,0.003143,0.000667,-0.002476,,,,,
211,3.818822,,3.818822,3.819489,0.000667,,0.000667,0.00093,0.000263,,,,,
212,3.819489,,3.819489,3.820419,0.00093,,0.00093,0,-0.00093,,,,,
213,3.820419,,3.820419,3.820419,0,,0,0.000678,0.000678,,,,,
214,3.820419,,3.820419,3.821097,0.000678,,0.000678,0.000441,-0.000237,,,,,
215,3.821097,,3.821097,3.821538,0.000441,,0.000441,0.005196,0.004755,,,,,
216,3.821538,,3.821538,3.826734,0.005196,,0.005196,0.000282,-0.004914,,,,,
217,3.826734,,3.826734,3.827016,0.000282,,0.000282,0,-0.000282,,,,,
218,3.827016,,3.827016,3.827016,0,,0,0.000531,0.000531,,,,,
